src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.0.108,20.189.173.8,443,52697,TCP,0.25037312507629395,0.12518656253814697,0.12518656253814697,1.0,1,0,0.0,1,1,0.0,0.0,0.0,0.0
163.70.145.13,192.168.0.108,443,52253,TCP,0.033998966217041016,0.004249870777130127,0.009363419669061372,2.203224559073381,36,5188,144.11111111111111,5,3,0.004999478658040364,0.010295320208698775,0.6,1.0
192.168.0.108,3.233.158.25,443,52694,TCP,0.27934980392456055,0.13967490196228027,0.13967490196228027,1.0,1,0,0.0,1,1,0.0,0.0,0.0,0.0
142.250.194.170,192.168.0.108,443,52668,TCP,0.040053367614746094,0.020026683807373047,0.020026683807373047,1.0,0,73,0.0,1,1,0.0,0.0,1.0,1.0
142.250.193.227,192.168.0.108,443,52671,TCP,0.047888755798339844,0.023944377899169922,0.023944377899169922,1.0,0,73,0.0,1,1,0.0,0.0,1.0,1.0
142.250.194.170,192.168.0.108,443,52670,TCP,0.04297041893005371,0.021485209465026855,0.021485209465026855,1.0,0,73,0.0,1,1,0.0,0.0,1.0,1.0
192.168.0.108,20.189.173.8,443,52696,TCP,0.5549919605255127,0.09249866008758545,0.1304913873323045,1.4107381361929392,2298,100,0.04351610095735422,3,3,0.200017511844635,0.11715639669521694,2.0,1.0
13.89.179.11,192.168.0.108,443,52718,TCP,1.0861618518829346,0.05430809259414673,0.1059924939496407,1.9516887610422995,5920,5199,0.8782094594594595,10,10,0.07838207132676069,0.11984218874371913,0.6666666666666666,1.0
