src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.1.3,224.0.0.251,5353,5353,UDP,440.1101679801941,23.163693051589163,12.928190897779212,0.5581230449301029,0,0,0.0,19,0,11.378170027452356,10.675883661675968,0.0,0.0
192.168.1.19,34.120.195.249,443,54856,UDP,627.7992045879364,0.26646825322068607,2.0189506946600884,7.5767025537110255,2082627,24414,0.011722694462330508,463,1893,0.48948039246254227,2.751206081091684,0.0,0.0
192.168.1.14,224.0.0.251,5353,5353,UDP,625.5404536724091,8.688061856561237,13.026262426964358,1.4993289230700981,0,0,0.0,72,0,13.751354479789734,13.940511160531994,0.0,0.0
192.168.1.21,224.0.0.251,5353,5353,UDP,624.818825006485,24.03149326948019,16.1882761749302,0.6736275600272075,0,0,0.0,26,0,13.696349531412125,17.03406576347037,0.0,0.0
192.168.1.4,224.0.0.251,5353,5353,UDP,624.8128218650818,23.141215624632657,19.053908965614962,0.8233754559260507,0,0,0.0,27,0,14.359892654418946,21.70774804263603,0.0,0.0
1.1.1.1,192.168.1.19,53,61815,UDP,0.08591151237487793,0.042955756187438965,0.042955756187438965,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
1.1.1.1,192.168.1.19,53,63977,UDP,0.13399934768676758,0.06699967384338379,0.06699967384338379,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
1.1.1.1,192.168.1.19,53,57762,UDP,0.029001951217651367,0.014500975608825684,0.014500975608825684,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
172.64.155.61,192.168.1.19,443,51607,TCP,7.234962701797485,0.3014567792415619,1.293558760548618,4.291025611708237,3728,5398,1.4479613733905579,11,13,0.6006142659620806,1.8262387896385952,0.5,1.0
104.18.29.22,192.168.1.19,443,61380,UDP,9.219001293182373,0.4008261431818423,1.7067864002140232,4.25817135246018,5861,5279,0.9006995393277598,12,11,0.8319515614282518,2.4180007789501925,0.0,0.0
