src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.0.1,192.168.0.102,53,57331,UDP,0.16365265846252441,0.08182632923126221,0.08182632923126221,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,58007,UDP,0.0687563419342041,0.03437817096710205,0.03437817096710205,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
108.158.61.71,192.168.0.102,443,50383,TCP,0.15260982513427734,0.02180140359061105,0.04029711825655138,1.8483726558736637,31,656,21.161290322580644,4,3,0.039938163757324216,0.04331585174884106,0.75,1.0
192.168.0.102,35.160.205.142,443,50381,TCP,21.942857265472412,5.485714316368103,4.874164721279172,0.8885196056848589,0,0,0.0,4,0,5.967128276824951,0.4027061462402344,0.0,0.0
172.65.55.248,192.168.0.102,443,50390,TCP,1.3469257354736328,0.04810449055262974,0.18237973106643698,3.79132444749416,2331,5998,2.5731445731445732,15,13,0.09496055199549748,0.2529203323809615,0.5555555555555556,1.0
192.168.0.102,54.187.150.44,443,50387,TCP,1.4414093494415283,0.030029361446698506,0.07583760319173534,2.5254484124261354,8965,5505,0.6140546569994423,23,25,0.03762270056683084,0.0847484541793808,1.6666666666666667,1.0
192.168.0.102,35.160.205.142,443,50382,TCP,1.3669307231903076,0.06213321469046853,0.09842151389481825,1.5840402655025747,2266,5896,2.6019417475728157,12,10,0.06701771020889283,0.09583946823053917,1.0,1.0
192.168.0.102,54.187.150.44,443,50389,TCP,1.2101013660430908,0.0711824332966524,0.11321435033014862,1.5904815989968824,1858,3442,1.852529601722282,10,7,0.08802828788757325,0.12112606320817021,0.5454545454545454,1.0
192.168.0.102,54.187.150.44,443,50388,TCP,1.2419934272766113,0.0730584368986242,0.1312144270377146,1.7960201806642482,1858,3441,1.8519913885898815,9,8,0.12293583552042643,0.12872885039783238,0.5454545454545454,1.0
192.168.0.102,54.187.150.44,443,50385,TCP,1.2279374599456787,0.07223161529092227,0.1242625293919947,1.7203343562442999,1826,3441,1.8844468784227821,9,8,0.107333771387736,0.1271562584778946,0.5454545454545454,1.0
192.168.0.102,54.187.150.44,443,50386,TCP,1.2178130149841309,0.07163605970494888,0.12624271033578105,1.7622788139903756,1826,3441,1.8844468784227821,9,8,0.10791522661844889,0.1305333118220647,0.5454545454545454,1.0
192.168.0.102,54.187.150.44,443,50384,TCP,1.23392653465271,0.07258391380310059,0.13195541993970544,1.8179705808874234,1794,3441,1.9180602006688963,9,8,0.11034485499064127,0.14304942186540995,0.5454545454545454,1.0
192.168.0.1,192.168.0.102,53,63888,UDP,0.026926517486572266,0.013463258743286133,0.013463258743286133,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,60097,UDP,0.020915746688842773,0.010457873344421387,0.010457873344421387,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.102,20.189.173.26,443,50370,TCP,1.1593446731567383,0.06440803739759657,0.18004249240500164,2.7953420051224858,4960,5103,1.0288306451612903,10,8,0.11114656925201416,0.24778021501733924,0.38461538461538464,1.0
192.168.0.102,44.240.180.165,443,50391,TCP,2.030104875564575,0.10150524377822875,0.25214402562435523,2.484049259319508,2479,5867,2.3666801129487696,9,11,0.1647268666161431,0.29525568204397784,0.8181818181818182,1.0
192.168.0.1,192.168.0.102,53,59099,UDP,0.5968127250671387,0.29840636253356934,0.29840636253356934,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,52577,UDP,1.1187615394592285,0.2237523078918457,0.21080494159749266,0.9421352726309695,0,0,0.0,4,1,0.2176090876261393,0.06340308242810153,0.0,0.0
18.66.57.16,192.168.0.102,443,50392,TCP,0.42154908180236816,0.015612928955643266,0.040050445461740816,2.565210254624559,2182,6586,3.01833180568286,13,14,0.02115361213684082,0.048792023937121724,0.6875,1.0
192.168.0.102,44.240.180.165,443,50393,TCP,1.1156120300292969,0.06562423706054688,0.13779482441412522,2.099755068954045,1952,5707,2.9236680327868854,9,8,0.10669794082641601,0.17786067904093592,0.4166666666666667,1.0
192.168.0.102,54.187.150.44,443,50377,TCP,9.173511743545532,4.586755871772766,4.586755871772766,1.0,0,0,0.0,2,0,0.0,0.0,0.0,0.0
192.168.0.102,54.187.150.44,443,50375,TCP,9.170505285263062,4.585252642631531,4.585252642631531,1.0,0,0,0.0,2,0,0.0,0.0,0.0,0.0
