src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.0.100,20.189.173.18,443,59787,TCP,40.981905698776245,2.9272789784840176,10.000075402595902,3.416167531724206,4262,141,0.0330830595964336,5,9,6.411010205745697,13.966052622677953,0.75,1.0
192.168.0.1,192.168.0.100,53,58687,UDP,70.56789088249207,23.52263029416402,33.26390298931732,1.4141234450966191,0,0,0.0,1,2,70.5588972568512,0.0,0.0,0.0
192.168.0.100,20.42.73.26,443,59800,TCP,1.8566875457763672,0.0773619810740153,0.13736555892963806,1.7756210094751184,5863,5202,0.8872590823810336,11,13,0.1130620524996803,0.14971864325498632,0.5,1.0
192.168.0.100,23.212.254.67,443,55100,UDP,10.47539734840393,1.047539734840393,3.0212101288330175,2.8841007442007345,142,204,1.4366197183098592,6,4,1.2914732098579407,3.2778863020743074,0.0,0.0
192.168.0.1,192.168.0.100,53,58611,UDP,0.004392147064208984,0.002196073532104492,0.002196073532104492,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,53267,UDP,0.8837754726409912,0.17675509452819824,0.20371984797975773,1.1525543211274045,0,0,0.0,4,1,0.3250418504079183,0.17896543503404141,0.0,0.0
142.250.192.67,192.168.0.100,443,59801,TCP,1.0020339488983154,0.03131356090307236,0.07298987635906529,2.330935040731948,2344,7280,3.10580204778157,17,15,0.040331244468688965,0.07377821937265606,0.6,1.0
192.168.0.1,192.168.0.100,53,50265,UDP,0.01634073257446289,0.008170366287231445,0.008170366287231445,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,53448,UDP,0.8102405071258545,0.1620481014251709,0.1752544913205757,1.081496727078306,0,0,0.0,4,1,0.27193299929300946,0.14464286870376564,0.0,0.0
192.168.0.1,192.168.0.100,53,51114,UDP,0.1697075366973877,0.08485376834869385,0.08485376834869385,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,53806,UDP,0.8415646553039551,0.168312931060791,0.10057099687437145,0.5975238874430115,0,0,0.0,4,1,0.1365503470102946,0.07083730269657612,0.0,0.0
