src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.1.19,34.120.195.249,443,63993,UDP,1351.9893832206726,0.2884551703052427,2.418328116463819,8.383722551773811,4287101,42993,0.010028455126202998,817,3870,0.5447118828206019,3.390665210330212,0.0,0.0
192.168.1.29,224.0.0.251,5353,5353,UDP,497.4360177516937,12.754769685940865,49.97353695812819,3.9180273880768124,0,0,0.0,39,0,22.15826169220177,69.5389552919291,0.0,0.0
142.250.207.227,192.168.1.19,443,60599,TCP,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0.0
142.250.207.227,192.168.1.19,443,60600,TCP,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0.0
142.250.206.98,192.168.1.19,443,53624,UDP,2.0645506381988525,0.07373395136424474,0.1586529601611561,2.151694805794587,4943,9050,1.8308719401173377,14,14,0.06538258149073674,0.14089941743117107,0.0,0.0
142.250.206.98,192.168.1.19,443,60609,TCP,15.379556655883789,0.7689778327941894,2.8881905156074383,3.7558826697419754,1808,6358,3.5165929203539825,10,10,1.5496188667085435,4.0574695554561435,0.25,1.0
104.18.32.239,192.168.1.19,443,60615,TCP,13.581089973449707,0.8488181233406067,2.9242423861384497,3.4450753414993165,1857,3957,2.1308562197092082,7,9,1.7786091566085815,4.167261684418149,0.3333333333333333,1.0
104.18.32.239,192.168.1.19,443,60616,TCP,13.533235311508179,0.8458272069692612,2.929261460670963,3.4631913427885483,1825,3956,2.1676712328767125,7,9,1.792044690677098,4.185273562964695,0.3333333333333333,1.0
104.18.32.239,192.168.1.19,443,60617,TCP,12.504605293273926,0.048280329317659944,0.11538525602207574,2.3899020088056897,2832,252660,89.21610169491525,157,102,0.045415316708385944,0.14545358126414729,0.22169811320754718,0.9361702127659575
104.18.32.239,192.168.1.19,443,60618,TCP,1.68583083152771,0.12967929473290077,0.1885956598567693,1.454323608446653,1860,4322,2.3236559139784947,5,8,0.1933066194707697,0.18370392525230791,0.4444444444444444,1.0
104.18.32.239,192.168.1.19,443,60619,TCP,1.9445374011993408,0.149579800092257,0.20078203013860282,1.342307116433941,1860,3809,2.0478494623655914,5,8,0.19368813254616477,0.22678717607608698,0.3,1.0
104.18.32.239,192.168.1.19,443,60620,TCP,1.9199209213256836,0.13713720866612025,0.17817316507273237,1.2992328399108655,1796,3810,2.121380846325167,6,8,0.15581627686818442,0.19658292505731467,0.2727272727272727,1.0
104.18.42.229,192.168.1.19,443,60621,TCP,11.381846189498901,0.36715632869351295,1.367226627260209,3.7238269380384663,2440,12996,5.326229508196722,16,15,0.5815421137316473,1.5762054617955885,0.631578947368421,0.9166666666666666
104.18.42.229,192.168.1.19,443,60622,TCP,11.382568120956421,0.17785262688994408,1.0010227920319414,5.628383507944352,2493,41554,16.66827115924589,37,27,0.2922363127431562,1.4021793961758002,0.391304347826087,1.0
104.18.32.239,192.168.1.19,443,50197,UDP,40.637813329696655,0.18813802467452156,0.9674079395715569,5.1420117822814975,14532,124863,8.592279108175061,138,78,0.2820731078352884,1.3153376179488832,0.0,0.0
104.18.42.229,192.168.1.19,443,61968,UDP,42.687315940856934,0.12058563825100829,0.870491653289514,7.218866739980416,20173,278095,13.78550537847618,262,92,0.1864589127627286,1.2103703761602416,0.0,0.0
104.18.42.229,192.168.1.19,443,53244,UDP,42.64226174354553,0.27689780352951643,1.681169655236338,6.071444532268132,10346,115349,11.149139764160061,111,43,0.43191410836420563,2.3058078945830305,0.0,0.0
104.18.32.239,192.168.1.19,443,49555,UDP,18.416035652160645,0.062427239498849645,0.2751695927564622,4.40784495623153,7705,252165,32.72744970798183,223,72,0.07577565353210658,0.32867951976193366,0.0,0.0
104.18.32.239,192.168.1.19,443,60623,TCP,18.808655738830566,0.9899292494121351,3.5147579714366293,3.550514315567352,2734,2986,1.0921726408193124,8,11,1.8503424139583813,4.636486716380681,0.7272727272727273,1.0
104.18.34.130,192.168.1.19,443,60625,TCP,18.71274495124817,0.4798139731089274,2.777161514051386,5.787996327111787,2413,23814,9.869042685453792,21,18,0.9729651808738708,3.9371197868456926,0.625,1.0
13.200.1.252,192.168.1.19,443,60627,TCP,8.178801536560059,0.19020468689674555,0.9939042297685273,5.225445523895412,2510,19117,7.616334661354582,22,21,0.31089480330304403,1.2206147628555486,0.5925925925925926,1.0
192.168.1.19,3.6.136.140,443,60629,TCP,7.67365288734436,0.19676033044472718,0.8262095886706626,4.19906587269509,2681,18345,6.842596046251399,20,19,0.2687619956764015,0.9570654800023163,0.56,1.0
192.168.1.19,3.6.136.140,443,60630,TCP,0.37758421897888184,0.023599013686180115,0.022667549318437556,0.9605295212702878,1873,3476,1.8558462359850507,7,9,0.01887890270778111,0.02132350854001756,0.3333333333333333,1.0
192.168.1.19,195.8.215.160,443,60631,TCP,7.950506687164307,0.31802026748657225,0.7932367494112162,2.4942962147678496,2418,6590,2.7253928866832093,13,12,0.4798786225526229,0.8344132313042879,0.47058823529411764,1.0
13.232.146.182,192.168.1.19,443,60632,TCP,6.397220849990845,0.3998263031244278,1.0777073865057216,2.6954389395695513,1825,3518,1.9276712328767123,7,9,0.6763531650815692,1.235702436728979,0.3333333333333333,1.0
192.168.1.19,195.8.215.160,443,60634,TCP,5.923516273498535,0.24681317806243896,0.7063206107393636,2.86176214853762,2418,6590,2.7253928866832093,12,12,0.3696523471312089,0.7566796604580519,0.5,1.0
13.232.146.182,192.168.1.19,443,60635,TCP,5.750345706939697,0.3382556298199822,0.955306216190127,2.824213795638925,1889,3517,1.861831656961355,8,9,0.5307241916656494,1.007944483434912,0.3076923076923077,1.0
13.232.146.182,192.168.1.19,443,60636,TCP,5.75872802734375,0.3387487074908088,0.9480696810430709,2.7987403644006363,1825,3519,1.9282191780821918,8,9,0.5331357638041179,0.9890099524905941,0.3076923076923077,1.0
18.66.41.25,192.168.1.19,443,60637,TCP,5.572917699813843,0.2533144409006292,0.8389590607875788,3.3119274914006485,1791,3799,2.1211613623673924,12,10,0.4242271900177002,1.0536751622826275,0.375,1.0
188.65.124.58,192.168.1.19,443,60638,TCP,5.451847553253174,0.2869393449080618,0.7640170432985451,2.6626430179637577,1888,5583,2.9570974576271185,9,10,0.38265491934383616,0.7326199226444053,0.26666666666666666,1.0
104.18.32.239,192.168.1.19,443,53801,UDP,1.2717068195343018,0.012111493519374303,0.005828599725906003,0.48124533250851437,6103,66549,10.9043093560544,66,39,0.0036828078112555937,0.003911928468542513,0.0,0.0
13.232.146.182,192.168.1.19,443,60639,TCP,9.912723064422607,0.619545191526413,1.2090454941136732,1.9515049275660923,2017,416,0.20624690133862172,8,8,0.9827177694865635,1.236353117500376,0.3333333333333333,1.0
18.66.41.25,192.168.1.19,443,60640,TCP,9.460806131362915,0.5565180077272303,1.663056879109394,2.988325365968245,2072,499,0.24083011583011582,8,9,1.1871930917104085,2.2864577277325733,0.5454545454545454,1.0
188.65.124.58,192.168.1.19,443,60641,TCP,9.936738014221191,0.6210461258888245,1.415036555919168,2.278472559335276,2048,5583,2.72607421875,7,9,0.7412086214338031,1.3864572978186311,0.3333333333333333,1.0
18.66.41.25,192.168.1.19,443,60642,TCP,9.404075145721436,0.048725777957105885,0.2639399822099222,5.416844907889884,2711,200394,73.91884913316119,107,86,0.06689696060983759,0.3578366138514634,0.0903954802259887,0.875
18.66.41.25,192.168.1.19,443,60643,TCP,2.4391915798187256,0.2217446890744296,0.20023866015127106,0.9030144576949036,1791,3535,1.9737576772752652,5,6,0.09229816330803765,0.0717535222495417,0.2222222222222222,1.0
